id,marke,slug,produkte,beschreibung,seo_title,meta_description,focus_keyword
8702,Anders + Redelfs,anders-redelfs,1,"Anders + Redelfs ist ein deutscher Laborbedarfshersteller; im Shop steht die Pasteurpipette aus Polyethylen.

Mit 3 ml Fassungsvermögen dient sie zum tropfengenauen Abmessen kleiner Flüssigkeitsmengen, etwa bei hoch konzentrierten Zusätzen.",Anders + Redelfs Pasteurpipette kaufen | Hanfjack,Anders + Redelfs: Pasteurpipette aus PE mit 3 ml für tropfengenaues Dosieren. Jetzt bei Hanfjack bestellen.,Anders + Redelfs
2620,Anesia Seeds,anesia-seeds,46,"Anesia Seeds ist eine Samenbank mit Schwerpunkt auf besonders potenten Linien und veröffentlicht zu ihren Sorten Laborwerte.

Bekannt geworden ist die Marke mit Future #1, für die der Züchter 37 % THC angibt. Daneben stehen Klassiker in reiner Form – Landrassen wie Malawi Gold, Panama Red und Purple Thai – sowie eine wachsende Zahl selbstblühender Sorten.",Anesia Seeds Hanfsamen kaufen | Hanfjack,Anesia Seeds: besonders potente Linien wie Future #1 sowie reine Sativa-Landrassen. Jetzt bei Hanfjack bestellen.,Anesia Seeds
16322,Aptus Plant Care,aptus-plant-care,10,"Aptus Plant Care ist ein niederländischer Hersteller hochkonzentrierter Zusätze.

Die Mittel sind stark verdünnt anzuwenden, entsprechend ergiebig sind die Gebinde: Startbooster für die Jugendphase, Regulator für den Streckungswuchs, Top Booster und Super PK für die Blüte.",Aptus Plant Care Zusätze kaufen | Hanfjack,"Aptus: hochkonzentrierte Zusätze wie Startbooster, Regulator, Top Booster und Super PK. Jetzt bei Hanfjack bestellen.",Aptus Plant Care
13021,Aqua Master,aqua-master,19,"Aqua Master stellt Messtechnik und Dosiertechnik für Nährlösungen her.

Im Sortiment stehen pH- und EC-Messgeräte sowie Dosierpumpen der C-Reihe, die den Wert selbsttätig nachregeln. Dazu kommen Dosierschläuche, Sonden und Kalibrierlösungen als Verbrauchs- und Ersatzteile.",Aqua Master Messgeräte und Dosierpumpen kaufen | Hanfjack,"Aqua Master: pH- und EC-Messgeräte, Dosierpumpen der C-Reihe, Sonden und Zubehör. Jetzt bei Hanfjack bestellen.",Aqua Master
14179,Atami,atami,33,"Atami ist ein niederländischer Hersteller von Erden, Substraten und Düngern und führt zwei Linien nebeneinander.

Unter ATA laufen die Grunddünger je Substrat, unter B'cuzz die Booster und Zusätze wie Silic Boost. Bei den Substraten stehen Janeco-Lightmix als leicht vorgedüngte Erde, Bi Grow Mix und reine Kokossubstrate zur Wahl.","Atami Dünger, Erde und B'cuzz Booster kaufen | Hanfjack","Atami: ATA-Grunddünger, B'cuzz-Booster sowie Erden und Kokossubstrate wie Janeco-Lightmix. Jetzt bei Hanfjack bestellen.",Atami
11612,Athena,athena,33,"Athena ist ein US-Hersteller aus Kalifornien und richtet sich an den professionellen Anbau.

Das Programm besteht aus zwei Linien: Blended als Flüssigdünger und Pro als Trockendünger zum Anmischen, was bei größeren Mengen Transport und Lagerraum spart. Dazu kommen Balance für den pH-Wert, CaMg als Ergänzung, Cleanse gegen Ablagerungen in Leitungen und IPW als Blattwäsche.",Athena Dünger – Blended und Pro Line kaufen | Hanfjack,"Athena: Flüssigdünger der Blended Line und Trockendünger der Pro Line, dazu Balance, CaMg und Cleanse. Bei Hanfjack.",Athena
7664,Atlas Seed,atlas-seed,0,"Atlas Seed ist eine Samenbank mit einem kompakten Sortenprogramm.

Geführt werden Space Panda und Peanut Butter Soufflé, beide als 5er-Packung. Weitergehende Herstellerangaben liegen uns zu dieser Marke nicht in belegbarer Form vor.",Atlas Seed Hanfsamen kaufen | Hanfjack,Atlas Seed: Space Panda und Peanut Butter Soufflé als 5er-Packungen Hanfsamen. Jetzt bei Hanfjack bestellen.,Atlas Seed
1823,Atomic,atomic,1,"Atomic ist eine Zubehörmarke und im Shop mit einer Acrylbong vertreten.

Acryl ist leichter und bruchsicherer als Glas, dafür empfindlicher gegen Hitze und Kratzer. Das Modell misst 48 mm im Durchmesser.",Atomic Acrylbong kaufen | Hanfjack,Atomic: Acrylbong mit 48 mm Durchmesser – leichter und bruchsicherer als Glas. Jetzt bei Hanfjack bestellen.,Atomic
13018,AutoPot,autopot,69,"AutoPot baut Bewässerungssysteme, die ohne Pumpe und ohne Strom auskommen.

Herzstück ist das AQUAvalve: ein Schwimmerventil im Untersetzer, das Wasser aus einem höher stehenden Tank nachlaufen lässt und erst wieder öffnet, wenn der Topf leer gezogen ist. Dadurch entstehen automatische Trockenphasen zwischen den Gaben. Die Systeme gibt es von einzelnen Töpfen bis zu Aufbauten mit sechzig Behältern, dazu Verrohrung, Ventile und Ersatzteile.",AutoPot Bewässerungssysteme kaufen | Hanfjack,"AutoPot: Bewässerung ohne Pumpe und Strom über das AQUAvalve, von 1 Topf bis zur Großanlage. Jetzt bei Hanfjack bestellen.",AutoPot
8700,B. Braun,b-braun,2,"B. Braun ist ein deutscher Medizintechnikhersteller; im Shop stehen Abfüllhilfen aus diesem Programm.

Die Spritzen in 5 und 20 ml dienen zum genauen Abmessen kleiner Flüssigkeitsmengen – etwa beim Dosieren konzentrierter Dünger, wo ein Messbecher zu grob ist.",B. Braun Abfüllhilfen kaufen | Hanfjack,B. Braun: Abfüllhilfen in 5 und 20 ml zum genauen Dosieren konzentrierter Dünger. Jetzt bei Hanfjack.,B. Braun
1482,Barneys Farm,barneys-farm,124,"Barneys Farm züchtet seit den Neunzigern in Amsterdam und gehört zu den meistausgezeichneten Samenbanken überhaupt.

Das Sortiment reicht von Klassikern wie Pineapple Chunk und Critical Kush bis zu aktuellen Cali-Kreuzungen wie Mimosa x Orange Punch, Gelato #45 und Zoap. Zu den meisten Sorten gibt es eine selbstblühende Fassung; einige Linien führt der Züchter zusätzlich als reguläre Samen für die Zuchtarbeit. Dazu kommt etwas Zubehör wie Metalldosen, Papers und ein Taschenmikroskop.",Barneys Farm Hanfsamen kaufen | Hanfjack,"Barneys Farm: feminisierte, autoflowering und reguläre Samen aus Amsterdam, von Classics bis Cali. Jetzt bei Hanfjack bestellen.",Barneys Farm
16324,BIO NOVA,bio-nova,1,"BIO NOVA ist ein niederländischer Düngerhersteller; im Shop steht der AutoFlowering SuperMix.

Der Dünger ist auf den kurzen Zyklus selbstblühender Pflanzen abgestimmt, bei denen Wachstum und Blüte dicht aufeinanderfolgen. Erhältlich in 1 Liter.",BIO NOVA AutoFlowering SuperMix kaufen | Hanfjack,"BIO NOVA: AutoFlowering SuperMix, abgestimmt auf den kurzen Zyklus selbstblühender Pflanzen. Bei Hanfjack.",BIO NOVA
4233,BioBizz,biobizz,25,"BioBizz ist ein niederländischer Hersteller, der ausschließlich organisch arbeitet – alle Dünger der Marke sind biologisch zertifiziert.

Die Erden Light-Mix und All-Mix unterscheiden sich in der Vordüngung, die Flüssigdünger Bio Grow und Bio Bloom decken Wachstum und Blüte ab. Für den Einstieg gibt es die Try Packs für Innen- und Außenanbau, die das passende Set zusammenfassen.",BioBizz organische Dünger und Erde kaufen | Hanfjack,"BioBizz: rein organische Dünger, Light-Mix und All-Mix Erde sowie Try Packs für den Einstieg. Jetzt bei Hanfjack.",BioBizz
16475,Biodor,biodor,0,"Biodor stellt Geruchsneutralisierer in Gelform her.

Die Reihe Control CNB gibt es mit 33 und 200 g, neutral oder mit Eukalyptusnote. Das Gel wird offen aufgestellt. Weitergehende Herstellerangaben liegen uns zu dieser Marke nicht in belegbarer Form vor.",Biodor Control CNB Geruchsgel kaufen | Hanfjack,"Biodor Control CNB: Geruchsneutralisierer als Gel mit 33 und 200 g, neutral oder Eukalyptus. Bei Hanfjack.",Biodor
3960,BioTabs,biotabs,25,"BioTabs setzt auf einen anderen Ansatz als flüssige Dünger: gepresste Tabletten, die beim Umtopfen ins Substrat kommen und über Monate abgeben.

Ergänzt wird das durch Mycotrex mit Mykorrhizapilzen, Bactrex mit Bodenbakterien und Guerrilla Juice als flüssige Nachdüngung. Das Starterpack fasst die Bestandteile für einen kompletten Durchgang zusammen.",BioTabs Dünger-Tabletten und Bodenleben kaufen | Hanfjack,"BioTabs: Düngetabletten mit Langzeitwirkung, Mycotrex, Bactrex und Guerrilla Juice. Jetzt bei Hanfjack bestellen.",BioTabs
16477,Birchmeier,birchmeier,1,"Birchmeier ist ein Schweizer Hersteller von Sprühgeräten mit über hundertjähriger Geschichte.

Die Rückenspritze PR3 in der Profi-Ausführung ist für den regelmäßigen Einsatz auf größeren Flächen ausgelegt und wird über einen Handhebel unter Druck gesetzt.",Birchmeier Rückenspritze PR3 kaufen | Hanfjack,Birchmeier: Rückenspritze PR3 Profi aus der Schweiz für den regelmäßigen Einsatz. Jetzt bei Hanfjack.,Birchmeier
7321,Black Leaf,black-leaf,3,"Black Leaf ist eine Zubehörmarke mit Glas, Dabbing-Werkzeug und Kleinteilen.

Im Sortiment stehen Glaspfeifen, Silikonmatten für Konzentrate und elektrische Dab-Werkzeuge mit Keramikspitze und Temperaturanzeige.",Black Leaf Glas und Dabbing-Zubehör kaufen | Hanfjack,"Black Leaf: Glaspfeifen, Silikonmatten und elektrische Dab-Werkzeuge mit Keramikspitze. Bei Hanfjack bestellen.",Black Leaf
1231,Blimburn Seeds,blimburn-seeds,1,"Blimburn Seeds ist eine spanische Samenbank; im Shop steht Rainbow Sherbet #11.

Die Sorte gehört zur Sherbet-Familie. Weitergehende Züchterangaben liegen zu dieser Linie nicht in belegbarer Form vor.",Blimburn Seeds Rainbow Sherbet kaufen | Hanfjack,"Blimburn Seeds: Rainbow Sherbet #11 aus der Sherbet-Familie, spanische Samenbank. Jetzt bei Hanfjack bestellen.",Blimburn Seeds
13846,Bloom Seeds,bloom-seeds,1,"Bloom Seeds ist eine Samenbank; im Shop steht die Sorte Strawberry Guave.

Ausführliche Züchterangaben zu dieser Linie liegen nicht in belegbarer Form vor.",Bloom Seeds Strawberry Guave kaufen | Hanfjack,Bloom Seeds: Strawberry Guave – eine Linie mit fruchtigem Profil aus dem Programm der Marke. Bei Hanfjack.,Bloom Seeds
11750,Bloomstar,bloomstar,22,"Bloomstar liefert Ausstattung für den Innenanbau – Growboxen, LED-Lampen und Zeltzubehör.

Die Boxen gibt es in mehreren Formaten vom 60er-Würfel bis zu rechteckigen Aufbauten. Dazu kommen Scrog-Netze in passenden Größen, mit denen sich der Bestand waagerecht führen lässt.","Bloomstar Growboxen, LED und Scrog-Netze kaufen | Hanfjack","Bloomstar: Growboxen in mehreren Formaten, LED-Lampen und passende Scrog-Netze. Jetzt bei Hanfjack bestellen.",Bloomstar
16486,Bloomtech,bloomtech,14,"Bloomtech liefert Kleinteile für die Pflanzenführung – das Zubehör, das im Zelt täglich gebraucht wird.

Dazu gehören ummantelter Bindedraht, Stütznetze in mehreren Längen, Stabklammern und Material für die Stecklingsanzucht. Die Netze gibt es auch als Rollenware für größere Flächen.","Bloomtech Bindedraht, Stütznetze und Klammern kaufen | Hanfjack","Bloomtech: ummantelter Bindedraht, Stütznetze in mehreren Größen und Stabklammern. Jetzt bei Hanfjack bestellen.",Bloomtech
1776,Bob Marley,bob-marley,1,"Bob Marley ist eine lizenzierte Papermarke; im Shop stehen King-Size-Papers.

Die Blättchen kommen im üblichen King-Size-Format. Die Marke arbeitet mit dem Namen und den Farben des Musikers.",Bob Marley King Size Papers kaufen | Hanfjack,Bob Marley: lizenzierte King-Size-Papers im klassischen Format der Marke. Jetzt bei Hanfjack bestellen.,Bob Marley
9012,Bobby Green,bobby-green,2,"Bobby Green führt Kräutermischungen als Tabakersatz, durchnummeriert statt mit Fantasienamen.

Die Mischungen kommen in 20-Gramm-Packungen und enthalten weder Tabak noch Nikotin. Auch nikotinfreie Mischungen erzeugen beim Verbrennen Schadstoffe; die Abgabe erfolgt erst ab 18 Jahren.",Bobby Green Kräutermischungen kaufen | Hanfjack,"Bobby Green: nikotinfreie Kräutermischungen als Tabakersatz in 20-g-Packungen, Abgabe ab 18 Jahren. Bei Hanfjack.",Bobby Green
13838,Bomb Seeds,bomb-seeds,1,"Bomb Seeds ist eine Samenbank, deren Sorten durchgehend den Namenszusatz Bomb tragen.

Im Shop steht Atomic Bomber. Ausführliche Züchterangaben liegen zu dieser Linie nicht in belegbarer Form vor.",Bomb Seeds Atomic Bomber kaufen | Hanfjack,Bomb Seeds: Atomic Bomber aus dem Programm der Samenbank mit den Bomb-Sorten. Jetzt bei Hanfjack bestellen.,Bomb Seeds
16473,Boveda,boveda,2,"Boveda ist der Hersteller, der die Zwei-Wege-Feuchtigkeitsregelung bekannt gemacht hat.

Die Packs geben Feuchtigkeit ab, wenn die Luft zu trocken ist, und nehmen sie auf, wenn sie zu feucht wird – bis sich der aufgedruckte Wert einstellt. Im Shop stehen die 320-Gramm-Packs für 58 % und 62 % relative Feuchte, ausgelegt für größere Behälter.",Boveda Hygro-Packs 58% und 62% kaufen | Hanfjack,Boveda: Zwei-Wege-Feuchtigkeitsregler mit 320 g für 58 % und 62 % relative Feuchte. Jetzt bei Hanfjack bestellen.,Boveda
7665,Brothers Grimm Seeds,brothers-grimm-seeds,26,"Brothers Grimm Seeds ist eine US-Samenbank, die in den Neunzigern mit Cinderella 99 bekannt wurde und nach langer Pause zurückkehrte.

Im Sortiment stehen die historischen Linien – Cinderella 99, Space Queen, Princess Haze – neben neueren Kreuzungen. Die Sorten sind feminisiert.",Brothers Grimm Seeds Hanfsamen kaufen | Hanfjack,"Brothers Grimm Seeds: Cinderella 99, Space Queen und Princess Haze, feminisiert. Jetzt bei Hanfjack bestellen.",Brothers Grimm Seeds
1443,Buddha Seeds,buddha-seeds,34,"Buddha Seeds ist eine spanische Samenbank und war einer der frühen Anbieter selbstblühender Sorten.

Die Dwarf-Reihe – White Dwarf, Red Dwarf – steht für besonders kompakte Autoflower, daneben gibt es größere Linien wie Syrup und Vesta sowie photoperiodische und CBD-reiche Sorten.",Buddha Seeds Hanfsamen kaufen | Hanfjack,"Buddha Seeds: kompakte Autoflower der Dwarf-Reihe, photoperiodische und CBD-Sorten. Jetzt bei Hanfjack bestellen.",Buddha Seeds
4746,Bulk Seed Bank,bulk-seed-bank,1,"Bulk Seed Bank ist eine Samenbank, die auf Sammelpackungen zu günstigen Stückpreisen setzt.

Im Shop steht die Gorilla Glue #4 – eine der harzreichsten Linien überhaupt und Ausgangspunkt zahlreicher Kreuzungen.",Bulk Seed Bank Gorilla Glue GG4 kaufen | Hanfjack,"Bulk Seed Bank: Gorilla Glue #4, eine der harzreichsten Linien, zum günstigen Stückpreis. Bei Hanfjack.",Bulk Seed Bank
16328,C-Résult,c-result,9,"C-Résult ist eine Düngerlinie mit einem Zweikomponenten-Grunddünger und ergänzenden Zusätzen.

A&amp;B bildet die Basis für alle Phasen, Gold und Silver setzen in Blüte und Reife eigene Schwerpunkte. Die Gebinde reichen von 1 bis 5 Litern.",C-Résult Dünger kaufen | Hanfjack,C-Résult: Zweikomponenten-Grunddünger A&B sowie die Zusätze Gold und Silver. Jetzt bei Hanfjack bestellen.,C-Résult
1195,Calitamex,calitamex,9,"Calitamex stellt CBD-Produkte für Hunde her – Öle, Kausnacks und Pflegemittel.

Die Öle sind Ergänzungsfuttermittel und in zwei Konzentrationen erhältlich, ergänzt um Zutaten wie Kamille, Kurkuma oder Algenöl. Dazu kommen äußerlich angewendete Produkte wie Pfotenbalsam, Zahngel und Ohrentropfen. Alle Artikel sind ausschließlich für Hunde bestimmt und ersetzen keine tierärztliche Behandlung.",Calitamex CBD für Hunde kaufen | Hanfjack,"Calitamex: CBD-Öle, Kausnacks und Pflegemittel für Hunde, in zwei Konzentrationen. Jetzt bei Hanfjack bestellen.",Calitamex
6624,Caluma,caluma,2,"Caluma liefert Zubehör für die Einrichtung von Anbauräumen.

Im Sortiment stehen oszillierende Klemmventilatoren für die Luftumwälzung sowie Aufhängesysteme, mit denen sich Lampen und Filter höhenverstellbar montieren lassen.",Caluma Ventilatoren und Aufhängesysteme kaufen | Hanfjack,Caluma: oszillierende Klemmventilatoren und höhenverstellbare Aufhängesysteme für Lampen und Filter. Bei Hanfjack.,Caluma
15938,CAN-Filters,can-filters,49,"CAN-Filters ist ein niederländischer Hersteller von Aktivkohlefiltern und Ventilatoren und einer der ältesten Namen in diesem Bereich.

Das Programm reicht von Filtern für kleine Zelte bis zu Anlagen mit 4500 m³/h. Die Can-Fan-Ventilatoren gibt es mit klassischem AC-Motor und als EC-Ausführung, die sich stufenlos regeln lässt und im Teillastbetrieb deutlich weniger Strom zieht.",CAN-Filters Aktivkohlefilter und Ventilatoren kaufen | Hanfjack,"CAN-Filters: Aktivkohlefilter und Can-Fan-Ventilatoren mit AC- und EC-Motor, bis 4500 m³/h. Jetzt bei Hanfjack bestellen.",CAN-Filters
13050,Canna,canna,71,"Canna ist ein niederländischer Düngerhersteller und im Shop mit kompletten Nährstofflinien für unterschiedliche Substrate vertreten.

Die Reihen sind nach dem Anbaumedium benannt: Terra für Erde, Coco für Kokos, Aqua und Hydro für Systeme ohne Substrat, Bio für den organischen Anbau. Innerhalb jeder Reihe gibt es je einen Wachstums- und einen Blütedünger, dazu Zusätze wie Rhizotonic, Cannazym und PK 13/14.","Canna Dünger für Erde, Kokos und Hydro kaufen | Hanfjack","Canna: Terra, Coco, Aqua und Bio – abgestimmte Düngerlinien je Substrat plus Zusätze. Jetzt bei Hanfjack bestellen.",Canna
13843,Cannarado x Phinest,cannarado-x-phinest,1,"Cannarado x Phinest ist eine Zusammenarbeit zweier US-Samenbanken.

Im Shop steht die Linie Grapes &amp; Creme. Ausführliche Züchterangaben liegen zu dieser Sorte nicht in belegbarer Form vor.",Cannarado x Phinest Grapes & Creme kaufen | Hanfjack,Cannarado x Phinest: Grapes & Creme aus der Zusammenarbeit zweier US-Samenbanken. Jetzt bei Hanfjack.,Cannarado x Phinest
12996,CannaVita,cannavita,1,"CannaVita führt kaltgepresstes Bio-Hanfsamenöl.

Kaltpressung heißt, dass beim Pressen keine Wärme zugeführt wird – das Öl behält dadurch sein Fettsäureprofil. Es ist ein Lebensmittel und für die kalte Küche gedacht, nicht zum Braten.",CannaVita Bio Hanfsamenöl kaufen | Hanfjack,"CannaVita: kaltgepresstes Bio-Hanfsamenöl für die kalte Küche, nicht zum Erhitzen. Jetzt bei Hanfjack.",CannaVita
13851,Capulator Cut,capulator-cut,1,"Capulator Cut steht für Samen aus der Schnittlinie des US-Züchters Capulator.

Im Shop steht Miracle Alien Cookies, kurz MAC1 – eine der bekanntesten Linien der letzten Jahre und Elternteil zahlreicher Kreuzungen.",Capulator Cut MAC1 Hanfsamen kaufen | Hanfjack,"Capulator Cut: Miracle Alien Cookies MAC1, eine der bekanntesten US-Linien. Jetzt bei Hanfjack bestellen.",Capulator Cut
16088,Carson,carson,11,"Carson ist ein US-Hersteller optischer Geräte und im Shop mit Taschenmikroskopen und Lupen vertreten.

Die Geräte decken unterschiedliche Vergrößerungen ab und lassen sich teils ans Smartphone koppeln, um Aufnahmen zu machen. Im Anbau werden sie vor allem für die Trichomkontrolle vor der Ernte und zum Aufspüren von Schädlingen genutzt.",Carson Mikroskope und Lupen kaufen | Hanfjack,"Carson: Taschenmikroskope und Lupen für Trichomkontrolle und Schädlingssuche, teils mit Smartphone-Kopplung. Bei Hanfjack.",Carson
16504,CenturionPro,centurionpro,18,"CenturionPro ist ein kanadischer Hersteller von Trimmmaschinen für den gewerblichen Einsatz.

Neben den Maschinen selbst – von der Tabletop bis zum Triple High Performance Bucker – führt der Shop die Verschleißteile: Bürstwalzen, Riemen, Lager und Sammelbeutel, die bei Dauerbetrieb regelmäßig getauscht werden.",CenturionPro Trimmmaschinen und Ersatzteile kaufen | Hanfjack,"CenturionPro: Trimmmaschinen und Bucker aus Kanada samt Bürstwalzen, Riemen und Lagern. Jetzt bei Hanfjack.",CenturionPro
7320,Champ High,champ-high,1,"Champ High ist eine Zubehörmarke und im Shop mit einem Grinder vertreten.

Der vierteilige Aufbau trennt Mahlwerk, Auffangkammer und Pollenfach voneinander, sodass sich das feine Material unten getrennt sammelt.",Champ High Grinder kaufen | Hanfjack,Champ High: vierteiliger Grinder mit Sieb und getrenntem Pollenfach für das feine Material. Jetzt bei Hanfjack bestellen.,Champ High
16466,Chikamasa,chikamasa,6,"Chikamasa ist ein japanischer Scherenhersteller und im Gartenbau seit Jahrzehnten gesetzt.

Die Erntescheren gibt es mit gerader und gebogener Klinge, teils fluorbeschichtet, damit weniger Harz haften bleibt. Die ultraleichten Modelle sind für langes Trimmen in einer Sitzung ausgelegt.",Chikamasa Erntescheren kaufen | Hanfjack,"Chikamasa: japanische Erntescheren, gerade und gebogen, teils fluorbeschichtet gegen Harz. Bei Hanfjack bestellen.",Chikamasa
12998,Chillo,chillo,1,"Chillo führt einen Eistee mit Hanf in der 250-ml-Dose.

Das Getränk ist ein Lebensmittel und enthält Hanf als geschmackgebenden Bestandteil. Angaben zu einer gesundheitlichen Wirkung sind nicht zulässig.",Chillo Cannabis Ice Tea kaufen | Hanfjack,"Chillo: Eistee mit Hanf in der 250-ml-Dose – ein Erfrischungsgetränk, kein Wirkstoffprodukt. Bei Hanfjack.",Chillo
14101,Cipher Genetics,cipher-genetics,18,"Cipher Genetics ist eine US-Samenbank mit feminisierten und regulären Linien.

Das Programm umfasst Sorten wie Blue Corgi, Alien Acid, Rodeo Dawg und Kerosene Drip. Ausführliche Datenblätter zu den einzelnen Linien veröffentlicht der Züchter nicht.",Cipher Genetics Hanfsamen kaufen | Hanfjack,Cipher Genetics: feminisierte und reguläre US-Linien wie Blue Corgi und Kerosene Drip. Jetzt bei Hanfjack bestellen.,Cipher Genetics
13845,Clone Only,clone-only,1,"Clone Only steht für Samen aus Linien, die ursprünglich nur als Steckling weitergegeben wurden.

Im Shop steht Sherb Creme Pie. Solche Linien sind über Samen sonst kaum zugänglich, weil sie beim Züchter nur vegetativ vermehrt wurden.",Clone Only Sherb Creme Pie kaufen | Hanfjack,Clone Only: Sherb Creme Pie – eine Linie aus ursprünglich nur vegetativ vermehrter Genetik. Bei Hanfjack.,Clone Only
